Statistische Informationssystem Berlin-Brandenburg (StatIS-BBB)

"Binnenwanderung im Land Berlin bis 2013 (1)"
"Jahre nach Herkunftsgebiet nach Zielgebiet"
"Zählen: Anzahl"

Filter:
"Datenbasis";"Anzahl"

" 2013"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"08 Neukölln";1747;;2896;;831;;1125;;586;;1186;;3275;;-;;1689;;405;;535;;797;;
"09 Treptow-Köpenick";483;;842;;779;;248;;193;;266;;378;;966;;-;;1094;;1137;;134;;
"10 Marzahn-Hellersdorf";461;;822;;1066;;160;;154;;150;;196;;266;;1207;;-;;2438;;169;;
"11 Lichtenberg";1025;;1501;;2133;;368;;234;;257;;300;;445;;1375;;2585;;-;;264;;
"12 Reinickendorf";2321;;434;;1268;;853;;821;;478;;603;;533;;207;;172;;248;;-;;


" 2007"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2578;;3770;;2824;;1026;;1209;;1856;;1735;;568;;505;;1050;;3424;;
"02 Friedrichshain-Kreuzberg";2627;;-;;2873;;1195;;338;;812;;2160;;3847;;1231;;742;;1969;;502;;
"03 Pankow";2992;;2688;;-;;722;;323;;466;;685;;807;;889;;927;;2236;;918;;
"04 Charlottenburg-Wilmersdorf";2504;;1187;;821;;-;;1678;;2734;;2552;;984;;295;;160;;271;;872;;
"05 Spandau";829;;378;;311;;1401;;-;;455;;597;;398;;259;;186;;368;;735;;
"06 Steglitz-Zehlendorf";941;;652;;405;;2161;;452;;-;;2831;;951;;285;;125;;198;;438;;
"07 Tempelhof-Schöneberg";1863;;1656;;776;;2567;;707;;3597;;-;;2881;;498;;313;;433;;705;;
"08 Neukölln";1727;;2534;;772;;1121;;607;;1198;;3085;;-;;1522;;335;;535;;790;;
"09 Treptow-Köpenick";459;;818;;727;;237;;209;;280;;369;;1139;;-;;1041;;1133;;188;;
"10 Marzahn-Hellersdorf";476;;694;;1014;;166;;144;;131;;245;;325;;1240;;-;;2367;;214;;
"11 Lichtenberg";940;;1302;;2145;;371;;224;;245;;315;;500;;1338;;2505;;-;;332;;
"12 Reinickendorf";2160;;411;;1232;;974;;877;;479;;593;;492;;193;;213;;272;;-;;


" 2008"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2536;;3281;;2529;;965;;1220;;1826;;1712;;608;;507;;1087;;3381;;
"02 Friedrichshain-Kreuzberg";2464;;-;;2531;;1089;;343;;730;;2075;;3833;;1193;;553;;2153;;515;;
"03 Pankow";2923;;2660;;-;;670;;303;;484;;644;;934;;987;;984;;2277;;932;;
"04 Charlottenburg-Wilmersdorf";2312;;1058;;788;;-;;1647;;2611;;2394;;885;;322;;154;;272;;922;;
"05 Spandau";782;;329;;300;;1389;;-;;415;;637;;445;;308;;235;;454;;716;;
"06 Steglitz-Zehlendorf";938;;658;;470;;2050;;424;;-;;2752;;929;;263;;150;;246;;492;;
"07 Tempelhof-Schöneberg";1685;;1349;;671;;2431;;591;;3176;;-;;2745;;475;;378;;406;;631;;
"08 Neukölln";1449;;2402;;695;;1028;;566;;1115;;2787;;-;;1472;;367;;515;;676;;
"09 Treptow-Köpenick";413;;726;;759;;244;;181;;265;;448;;1038;;-;;967;;1152;;156;;
"10 Marzahn-Hellersdorf";483;;640;;1069;;237;;179;;156;;217;;264;;1384;;-;;2319;;208;;
"11 Lichtenberg";913;;1341;;2062;;331;;215;;245;;353;;465;;1362;;2390;;-;;271;;
"12 Reinickendorf";2096;;358;;1135;;807;;825;;518;;582;;555;;252;;189;;265;;-;;


" 2009"
